FIPS_Code,County Name,State,Estimated_hesitant,Estimated_strongly_hesitant,Social Vulnerability Index (SVI),SVI Category,Ability to handle a COVID-19 outbreak (CVAC),CVAC Category,Percent adults fully vaccinated against COVID-19 as of 3/30/2021,Percent Hispanic,Percent non-Hispanic American Indian/Alaska Native,Percent non-Hispanic Asian,Percent non-Hispanic Black,Percent non-Hispanic Native Hawaiian/Pacific Islander,Percent non-Hispanic White
1005,"Barbour County, Alabama",ALABAMA,0.23,0.11,1,Very High Vulnerability,0.89,Very High Vulnerability,12.8,4.36,0.29,0.48,47.44,0,45.81
1003,"Baldwin County, Alabama",ALABAMA,0.2,0.1,0.22,Low Vulnerability,0.23,Low Vulnerability,17.6,4.56,0.65,0.92,9.17,0,83.07
1071,"Jackson County, Alabama",ALABAMA,0.24,0.12,0.57,Moderate Vulnerability,0.61,High Vulnerability,19.2,2.93,1.12,0.45,3.42,0.11,89.25
1073,"Jefferson County, Alabama",ALABAMA,0.2,0.1,0.66,High Vulnerability,0.47,Moderate Vulnerability,17.7,3.87,0.16,1.57,42.8,0.03,49.89
1121,"Talladega County, Alabama",ALABAMA,0.23,0.11,0.87,Very High Vulnerability,0.84,Very High Vulnerability,13.3,2.29,0.43,0.61,32.37,0.03,62.63
1001,"Autauga County, Alabama",ALABAMA,0.22,0.1,0.44,Moderate Vulnerability,0.61,High Vulnerability,11.4,2.83,0.25,1.03,19,0.01,74.6
1091,"Marengo County, Alabama",ALABAMA,0.24,0.12,0.76,High Vulnerability,0.84,Very High Vulnerability,19.7,1.01,0.11,0,53.56,0,44.88
1041,"Crenshaw County, Alabama",ALABAMA,0.23,0.11,0.69,High Vulnerability,0.84,Very High Vulnerability,12.4,0.79,0.66,1.26,23.13,0.07,70.98
1097,"Mobile County, Alabama",ALABAMA,0.22,0.11,0.75,High Vulnerability,0.62,High Vulnerability,17.8,2.9,0.76,1.89,35.54,0.01,56.89
1113,"Russell County, Alabama",ALABAMA,0.23,0.11,0.91,Very High Vulnerability,0.84,Very High Vulnerability,10.4,5.49,0.26,0.87,43.41,0.04,46.07
1049,"DeKalb County, Alabama",ALABAMA,0.24,0.12,0.8,Very High Vulnerability,0.8,High Vulnerability,10.2,14.55,1.07,0.12,1.43,0.21,80.44
1115,"St. Clair County, Alabama",ALABAMA,0.23,0.11,0.37,Low Vulnerability,0.56,Moderate Vulnerability,10.2,2.42,0.35,0.8,9.57,0.01,85.87
1087,"Macon County, Alabama",ALABAMA,0.23,0.11,0.9,Very High Vulnerability,0.83,Very High Vulnerability,18.2,0.81,0.09,0.17,82.54,0,15.85
1095,"Marshall County, Alabama",ALABAMA,0.21,0.1,0.73,High Vulnerability,0.64,High Vulnerability,14.4,13.97,0.36,0.6,2.67,0.05,80.75
1023,"Choctaw County, Alabama",ALABAMA,0.23,0.11,0.87,Very High Vulnerability,0.83,Very High Vulnerability,21.8,0.41,0.06,0.13,42.55,0,56.38
1085,"Lowndes County, Alabama",ALABAMA,0.22,0.1,0.92,Very High Vulnerability,0.87,Very High Vulnerability,11.5,0.5,0.13,0,74.36,0,24.66
1107,"Pickens County, Alabama",ALABAMA,0.22,0.1,0.92,Very High Vulnerability,0.78,High Vulnerability,14.9,4.87,0.14,0.06,39.84,0.06,53.65
1063,"Greene County, Alabama",ALABAMA,0.24,0.12,0.99,Very High Vulnerability,0.88,Very High Vulnerability,14.7,1.74,0.44,0,79.46,0,17.24
1065,"Hale County, Alabama",ALABAMA,0.24,0.12,0.96,Very High Vulnerability,0.85,Very High Vulnerability,23,0.03,0.2,0.22,59.37,0,39.53
1055,"Etowah County, Alabama",ALABAMA,0.23,0.11,0.66,High Vulnerability,0.64,High Vulnerability,13.5,3.88,0.37,0.74,15.44,0.02,77.86
1009,"Blount County, Alabama",ALABAMA,0.23,0.11,0.42,Moderate Vulnerability,0.8,High Vulnerability,9.5,9.26,0.07,0.37,1.53,0.04,86.89
1047,"Dallas County, Alabama",ALABAMA,0.24,0.12,0.95,Very High Vulnerability,0.78,High Vulnerability,18.5,1.07,0.09,0.57,70.43,0.01,27.32
1131,"Wilcox County, Alabama",ALABAMA,0.23,0.11,0.93,Very High Vulnerability,0.94,Very High Vulnerability,22.8,0.53,0.09,0.03,69.38,0,26.84
1089,"Madison County, Alabama",ALABAMA,0.19,0.09,0.31,Low Vulnerability,0.29,Low Vulnerability,18,4.95,0.56,2.62,24.05,0.08,64.68
1051,"Elmore County, Alabama",ALABAMA,0.22,0.1,0.54,Moderate Vulnerability,0.6,High Vulnerability,12.6,2.96,0.26,0.54,21.23,0,73.16
1069,"Houston County, Alabama",ALABAMA,0.23,0.11,0.68,High Vulnerability,0.6,Moderate Vulnerability,17.7,3.32,0.25,0.87,26.76,0.04,66.46
1129,"Washington County, Alabama",ALABAMA,0.23,0.11,0.73,High Vulnerability,0.82,Very High Vulnerability,19.2,1.46,7.31,0.25,23.54,0,64.95
1119,"Sumter County, Alabama",ALABAMA,0.24,0.12,0.96,Very High Vulnerability,0.96,Very High Vulnerability,17,0.53,0.07,2.14,71.92,0,24.81
